Date,Time,Price,Bid,Ask,Size
02/03/2020,11:19:33,127.42,127.41,127.42,100
02/03/2020,11:19:33,127.42,127.42,127.43,100
02/03/2020,11:19:34,127.43,127.42,127.43,100
02/03/2020,11:19:34,127.43,127.42,127.43,200
02/03/2020,11:19:34,127.44,127.43,127.44,180
02/03/2020,11:19:35,127.44,127.43,127.44,100
02/03/2020,11:19:35,127.44,127.43,127.44,300
02/03/2020,11:19:35,127.44,127.43,127.44,400
02/03/2020,11:19:40,127.43,127.42,127.43,100
02/03/2020,11:19:40,127.43,127.42,127.43,100
02/03/2020,11:19:43,127.435,127.43,127.44,409
02/03/2020,11:19:44,127.44,127.44,127.45,773
02/03/2020,11:19:44,127.445,127.44,127.45,1297
02/03/2020,11:19:50,127.45,127.44,127.45,100
02/03/2020,11:19:52,127.45,127.44,127.45,100
02/03/2020,11:19:52,127.45,127.44,127.45,100
02/03/2020,11:20:00,127.45,127.44,127.45,100
02/03/2020,11:20:10,127.48,127.47,127.48,100
02/03/2020,11:20:13,127.48,127.47,127.48,100
02/03/2020,11:20:19,127.47,127.47,127.48,100
02/03/2020,11:20:20,127.46,127.45,127.46,100
02/03/2020,11:20:34,127.43,127.43,127.44,100
02/03/2020,11:21:06,127.47,127.47,127.48,300
02/03/2020,11:21:06,127.475,127.47,127.48,205
02/03/2020,11:21:06,127.48,127.47,127.48,100
02/03/2020,11:21:07,127.47,127.46,127.47,100
02/03/2020,11:21:08,127.465,127.46,127.47,100
02/03/2020,11:21:11,127.46,127.46,127.47,100
02/03/2020,11:21:11,127.46,127.46,127.47,100
02/03/2020,11:21:11,127.46,127.46,127.47,100
02/03/2020,11:21:12,127.45,127.45,127.46,100
02/03/2020,11:21:12,127.4544,127.45,127.46,100
02/03/2020,11:21:16,127.45,127.44,127.45,100
02/03/2020,11:21:31,127.46,127.45,127.46,100
02/03/2020,11:21:48,127.44,127.44,127.45,100
02/03/2020,11:21:48,127.44,127.44,127.45,100
02/03/2020,11:21:48,127.4431,127.44,127.45,100
02/03/2020,11:21:53,127.45,127.45,127.46,168
02/03/2020,11:21:53,127.46,127.45,127.46,800
02/03/2020,11:21:53,127.46,127.45,127.46,400
02/03/2020,11:21:53,127.46,127.45,127.46,236
02/03/2020,11:21:53,127.46,127.45,127.46,1300
02/03/2020,11:21:53,127.46,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,800
02/03/2020,11:21:53,127.45,127.45,127.46,800
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,200
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,200
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.46,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:53,127.45,127.45,127.46,100
02/03/2020,11:21:57,127.47,127.45,127.46,100
02/03/2020,11:21:57,127.46,127.46,127.47,100
02/03/2020,11:21:59,127.47,127.46,127.47,100
02/03/2020,11:22:02,127.47,127.47,127.48,100
02/03/2020,11:22:28,127.45,127.45,127.46,140
02/03/2020,11:23:02,127.41,127.4,127.41,100
02/03/2020,11:23:24,127.4,127.4,127.41,200
02/03/2020,11:23:32,127.4151,127.41,127.42,253
02/03/2020,11:23:51,127.4,127.4,127.41,100
02/03/2020,11:23:51,127.4,127.4,127.41,162
02/03/2020,11:24:09,127.42,127.41,127.42,100
02/03/2020,11:24:12,127.4272,127.42,127.43,179
02/03/2020,11:24:12,127.422,127.42,127.43,200
02/03/2020,11:24:26,127.43,127.43,127.44,100
02/03/2020,11:24:26,127.43,127.43,127.44,100
02/03/2020,11:24:28,127.44,127.44,127.45,100
02/03/2020,11:24:57,127.46,127.45,127.46,100
02/03/2020,11:24:57,127.46,127.45,127.46,100
02/03/2020,11:25:25,127.44,127.44,127.45,200
02/03/2020,11:25:26,127.45,127.45,127.46,100
02/03/2020,11:25:50,127.46,127.46,127.47,645
02/03/2020,11:25:50,127.47,127.46,127.47,100
02/03/2020,11:26:00,127.4599,127.45,127.46,308
02/03/2020,11:26:23,127.44,127.43,127.44,100
02/03/2020,11:26:23,127.44,127.43,127.44,100
02/03/2020,11:26:23,127.44,127.43,127.44,100
02/03/2020,11:26:23,127.44,127.43,127.44,100
02/03/2020,11:26:23,127.44,127.43,127.44,100
